filename,unit_of_analysis,rows,key_columns,node_set,observation_window,source_data,transformations,missingness_or_observation_state_coding,file_role,redistribution_status
a55_complete_dyads_with_observation_flags.csv,unordered country dyad,1485,iso_i; iso_j,A55,OpenAlex 2021-2025; PeeringDB snapshot 2026-07-15,OpenAlex; PeeringDB; CEPII GeoDist; World Bank; REC sources,Continental merged sensitivity table retaining coverage and eligibility flags.,Technical zeros outside the observed C39 universe are lower-bound sensitivity values only; flags must be retained.,sensitivity analytical input,published processed/derived file; provider rights retained; see data/README.md
a55_country_three_layer_positions.csv,country,55,country_code,A55; technical fields observed for C39 only,2015-2019 and 2021-2025; PeeringDB snapshot 2026-07-15,OpenAlex; PeeringDB,"Fractional AI research activity, shared-ASN participation position, and collaboration-network position are ranked independently.","Explicit network coverage fields; blank technical positions mean not observed, not zero.",analytical input and Figure 1 input,published processed/derived file; provider rights retained; see data/README.md
a55_coverage_selection_diagnostics.csv,country,55,iso2,A55,OpenAlex 2021-2025; PeeringDB snapshot 2026-07-15,OpenAlex; PeeringDB; World Bank,Country attributes and technical-layer coverage indicators for observability diagnostics.,"Coverage is an observed selection state, not missing completely at random.",analytical input,published processed/derived file; provider rights retained; see data/README.md
a55_observability_status.csv,country,55,iso2,A55,PeeringDB snapshot 2026-07-15,PeeringDB; OpenAlex,Country eligibility and coverage flags merged with selection diagnostics.,"Separates primary observed, sensitivity observed, excluded ambiguity, and not observed.",analytical input and Figure 3 input,published processed/derived file; provider rights retained; see data/README.md
a55_openalex_country_period_summary.csv,country-period,110,country_code; period,A55,2015-2019 and 2021-2025,OpenAlex,Aggregated fractional research activity and knowledge-network country measures.,All A55 countries are retained; structural zeros and source coverage are documented by the OpenAlex workflow.,analytical input,published processed/derived file; provider rights retained; see data/README.md
a55_rec_membership_snapshot.csv,country-REC membership,106,iso2; rec,A55,membership snapshot 2026-07-15,African Union and REC public membership pages,Membership records coded to the frozen REC snapshot.,Membership values describe the documented snapshot; absence is not interpreted as policy ineffectiveness.,analytical input,published processed/derived file; provider rights retained; see data/README.md
c38_continuous_estimation_dyads.csv,unordered country dyad,703,iso_i; iso_j,C38,OpenAlex 2021-2025; covariate reference years through 2025; PeeringDB snapshot 2026-07-15,OpenAlex; PeeringDB; CEPII GeoDist; World Bank; REC sources,Complete-case subset used by the primary continuous DSP-MRQAP.,Every dyad is inside the C38 primary estimand.,primary analytical input,published processed/derived file; provider rights retained; see data/README.md
c38_primary_model_dyads.csv,unordered country dyad,741,iso_i; iso_j,C39 source universe with C38 complete-case flags,OpenAlex 2021-2025; covariate reference years through 2025; PeeringDB snapshot 2026-07-15,OpenAlex; PeeringDB; CEPII GeoDist; World Bank; REC sources,Frozen dyadic model table with primary and sensitivity eligibility flags.,Network-defined and complete-case flags identify the estimand; not-observed dyads are not used as zeros.,analytical input,published processed/derived file; provider rights retained; see data/README.md
c39_multiplex_dyads.csv,unordered country dyad,741,iso_i; iso_j,C39,OpenAlex 2021-2025; PeeringDB snapshot 2026-07-15,OpenAlex; PeeringDB; REC sources,Complete C39 dyads combining technical and knowledge edges/weights and REC relations.,All dyads are inside the observed C39 technical universe; recorded zero is distinguishable from positive.,analytical input,published processed/derived file; provider rights retained; see data/README.md
c39_regional_null_inputs.json,graph bundle,1,nodes; graphs,C39,OpenAlex 2021-2025; PeeringDB snapshot 2026-07-15; REC snapshot 2026-07-15,Derived C39 technical and knowledge graphs; REC coding,"Stores node order, binary edges, weights, REC matrices, seeds, and draw count.",Only observed C39 nodes enter the graph ensemble.,analytical input,published processed/derived file; provider rights retained; see data/README.md
t1b_primary_risk_set.csv,unordered country dyad,55,iso_i; iso_j,registered T1-B risk set,exposure 2023-2024; outcome 2025,CAIDA PeeringDB snapshots; OpenAlex annual panel; CEPII controls,Applies the locked transition and pre-outcome risk-set rules.,Coverage-change dyads are excluded; entry and stable-zero exposure states are explicit.,exploratory analytical input,published processed/derived file; provider rights retained; see data/README.md
t1b_risk_set_2024_attrition.csv,attrition stage,8,stage_order,2024 T1-B risk-set construction,2022-2025,Derived T1-B audit,Counts progressive restrictions in the 2024 exposure cohort.,Reports exclusion stages rather than imputing missing exposure.,derived exploratory output,published processed/derived file; provider rights retained; see data/README.md
temporal_deepening_cohort_rates.csv,event-year cohort,48,event_year,registered temporal core,event years 2019-2024 with one- and two-year outcomes where mature,CAIDA PeeringDB snapshots; OpenAlex annual panel,Rates of collaboration-strength increase among dyads with an existing relation.,Formation and deepening denominators are distinct.,derived exploratory output,published processed/derived file; provider rights retained; see data/README.md
temporal_formation_cohort_rates.csv,event-year cohort,18,event_year,registered temporal core,event years 2019-2024 with one- and two-year outcomes where mature,CAIDA PeeringDB snapshots; OpenAlex annual panel,Cumulative new-collaboration formation rates following eligible exposure transitions.,Only eligible observed risk sets enter denominators.,derived exploratory output,published processed/derived file; provider rights retained; see data/README.md
