iso2,iso3,country,network_primary_covered,ixp_count,unique_member_asns,ai_works_current_2021_2025,fractional_ai_output_current_2021_2025,gdp_current_usd_reference_year,population_reference_year
DZ,DZA,Algeria,0,0,0,2375,1768.5877705627672,287031225987.736,47435312.0
AO,AGO,Angola,1,2,29,16,11.166666666666666,122174889423.635,39040039.0
BJ,BEN,Benin,1,1,5,82,52.65238095238095,24566420903.5337,14814460.0
BW,BWA,Botswana,1,2,1,146,88.80657993966818,19928479839.4476,2562122.0
BF,BFA,Burkina Faso,1,2,16,90,59.53333333333333,27627297461.3181,24074580.0
BI,BDI,Burundi,1,1,9,256,115.86834733893551,3364713864.08488,14390003.0
CV,CPV,Cabo Verde,1,1,5,7,4.166666666666666,3056630435.32463,527326.0
CM,CMR,Cameroon,1,3,17,458,309.6651727357609,58933453923.761,29879337.0
CF,CAF,Central African Republic,0,0,0,9,4.916666666666666,3066109226.40165,5513282.0
TD,TCD,Chad,1,1,9,17,9.833333333333334,21472835225.4338,21003705.0
KM,COM,Comoros,0,0,0,0,0.0,1814920856.27026,882847.0
CG,COG,Republic of the Congo,1,2,9,19,13.566666666666668,16306633778.765,6484437.0
CD,COD,Democratic Republic of the Congo,1,4,30,89,59.775,91030531316.9936,112832473.0
CI,CIV,Cote d'Ivoire,1,1,14,75,45.99285714285714,99773555666.1988,32711547.0
DJ,DJI,Djibouti,1,1,20,4,1.4999999999999998,4624533092.31886,1184076.0
EG,EGY,Egypt,1,3,38,5454,3723.556252877528,365254630179.737,118365995.0
GQ,GNQ,Equatorial Guinea,0,0,0,0,0.0,12823210425.9217,1938431.0
ER,ERI,Eritrea,0,0,0,8,4.833333333333333,,3607003.0
SZ,SWZ,Eswatini,0,1,0,16,6.15,5160679612.81734,1256174.0
ET,ETH,Ethiopia,1,1,3,927,615.503603749192,126358758448.356,135472051.0
GA,GAB,Gabon,1,1,8,15,5.471428571428572,21427119323.2764,2593130.0
GM,GMB,Gambia,1,1,2,16,10.0,2593673987.53306,2822093.0
GH,GHA,Ghana,1,3,39,719,479.2877747252742,114209905278.717,35064272.0
GN,GIN,Guinea,1,1,4,7,5.0,28346024753.2924,15099727.0
GW,GNB,Guinea-Bissau,0,0,0,2,0.8333333333333333,2527930272.92988,2249515.0
KE,KEN,Kenya,1,8,171,596,455.7142607392605,135941278878.815,57532493.0
LS,LSO,Lesotho,1,1,3,9,5.033333333333333,2573572920.05159,2363325.0
LR,LBR,Liberia,0,0,0,18,8.916666666666668,5245938900.0,5731206.0
LY,LBY,Libya,0,1,0,258,196.41666666666669,48098909613.6316,7458555.0
MG,MDG,Madagascar,1,1,5,63,43.535964912280704,19620352035.7899,32740678.0
MW,MWI,Malawi,1,2,12,97,55.70000000000001,14918276698.303,22216120.0
ML,MLI,Mali,1,1,5,29,15.360256410256413,30069148580.7688,25198821.0
MR,MRT,Mauritania,0,0,0,40,20.150000000000002,11679910946.4371,5315065.0
MU,MUS,Mauritius,1,1,21,120,88.13571428571426,16157804491.7614,1243741.0
MA,MAR,Morocco,1,2,6,3474,2902.01599520753,182374250612.28,38430770.0
MZ,MOZ,Mozambique,1,1,18,81,42.07619047619048,22337997046.1913,35631653.0
NA,NAM,Namibia,1,1,6,98,54.555952380952384,15080340653.5276,3092816.0
NE,NER,Niger,0,0,0,33,19.1047619047619,21646191388.2507,27917831.0
NG,NGA,Nigeria,1,6,153,3380,2666.793105727726,290794361542.112,237527782.0
RW,RWA,Rwanda,1,1,15,183,111.44507956805911,16372132990.2271,14569341.0
EH,ESH,Sahrawi Arab Democratic Republic / Western Sahara,0,0,0,0,0.0,,
ST,STP,Sao Tome and Principe,0,0,0,2,1.3333333333333333,981293586.906408,240254.0
SN,SEN,Senegal,1,1,5,159,103.99444444444444,37006536238.3731,18931966.0
SC,SYC,Seychelles,0,0,0,4,1.7,2387022853.48583,122730.0
SL,SLE,Sierra Leone,1,1,5,15,9.7,7464157904.43509,8819794.0
SO,SOM,Somalia,0,1,0,49,27.667156862745095,12995200000.2658,19654739.0
ZA,ZAF,South Africa,1,12,635,2806,1902.538283882895,427184325997.307,64747319.0
SS,SSD,South Sudan,0,0,0,319,158.4651515151515,,12188788.0
SD,SDN,Sudan,1,1,4,248,147.75043290043294,60162634574.4689,51662147.0
TZ,TZA,Tanzania,1,7,43,236,172.69329004329006,90143496090.4411,70545865.0
TG,TGO,Togo,1,1,9,22,9.666666666666666,11889949067.4697,8591626.0
TN,TUN,Tunisia,1,1,4,1846,1242.1093362193385,57502836548.0878,12348573.0
UG,UGA,Uganda,1,1,25,239,155.00997295469912,61985829288.1496,51384894.0
ZM,ZMB,Zambia,1,1,12,145,89.39253663003663,28879806220.1264,21913874.0
ZW,ZWE,Zimbabwe,1,1,2,172,102.97619047619045,51215643905.5886,16950795.0
