event_year,event_type,candidate_dyads,existing_tie_eligible_n,fractional_one_year_increase_n,fractional_one_year_increase_rate,normalized_one_year_eligible_n,normalized_one_year_increase_n,normalized_one_year_increase_rate,t2_available,fractional_two_year_cumulative_increase_n,fractional_two_year_cumulative_increase_rate,normalized_two_year_eligible_n,normalized_two_year_cumulative_increase_n,normalized_two_year_cumulative_increase_rate
2019,entry,3,0,0,,0,0,,1,0,,0,0,
2019,intensive_increase,21,8,2,0.25,6,2,0.3333333333333333,1,4,0.5,6,2,0.3333333333333333
2019,stable_positive,138,18,2,0.1111111111111111,8,2,0.25,1,5,0.2777777777777778,12,4,0.3333333333333333
2019,stable_zero,89,11,3,0.2727272727272727,8,2,0.25,1,6,0.5454545454545454,9,5,0.5555555555555556
2019,intensive_decrease,10,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
2019,exit,15,0,0,,0,0,,1,0,,0,0,
2019,topology_strengthening,24,8,2,0.25,6,2,0.3333333333333333,1,4,0.5,6,2,0.3333333333333333
2019,non_strengthening,227,29,5,0.1724137931034483,16,4,0.25,1,11,0.3793103448275862,21,9,0.42857142857142855
2020,entry,30,2,0,0.0,2,0,0.0,1,0,0.0,2,0,0.0
2020,intensive_increase,32,6,3,0.5,4,2,0.5,1,3,0.5,5,2,0.4
2020,stable_positive,198,12,6,0.5,10,3,0.3,1,6,0.5,11,4,0.36363636363636365
2020,stable_zero,199,13,4,0.3076923076923077,11,2,0.18181818181818182,1,6,0.46153846153846156,13,4,0.3076923076923077
2020,intensive_decrease,5,0,0,,0,0,,1,0,,0,0,
2020,exit,1,0,0,,0,0,,1,0,,0,0,
2020,topology_strengthening,62,8,3,0.375,6,2,0.3333333333333333,1,3,0.375,7,2,0.2857142857142857
2020,non_strengthening,397,25,10,0.4,21,5,0.23809523809523808,1,12,0.48,24,8,0.3333333333333333
2021,entry,14,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
2021,intensive_increase,60,10,5,0.5,10,2,0.2,1,7,0.7,10,2,0.2
2021,stable_positive,191,24,7,0.2916666666666667,23,6,0.2608695652173913,1,10,0.4166666666666667,23,8,0.34782608695652173
2021,stable_zero,186,14,5,0.35714285714285715,11,3,0.2727272727272727,1,6,0.42857142857142855,11,4,0.36363636363636365
2021,intensive_decrease,8,2,0,0.0,2,0,0.0,1,1,0.5,2,1,0.5
2021,exit,6,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
2021,topology_strengthening,74,11,5,0.45454545454545453,11,2,0.18181818181818182,1,7,0.6363636363636364,11,2,0.18181818181818182
2021,non_strengthening,377,38,12,0.3157894736842105,34,9,0.2647058823529412,1,16,0.42105263157894735,34,12,0.35294117647058826
2022,entry,77,10,1,0.1,10,1,0.1,1,4,0.4,10,2,0.2
2022,intensive_increase,51,12,6,0.5,12,6,0.5,1,6,0.5,12,6,0.5
2022,stable_positive,222,27,8,0.2962962962962963,26,8,0.3076923076923077,1,12,0.4444444444444444,27,11,0.4074074074074074
2022,stable_zero,115,5,2,0.4,4,1,0.25,1,3,0.6,5,2,0.4
2022,intensive_decrease,0,0,0,,0,0,,1,0,,0,0,
2022,exit,0,0,0,,0,0,,1,0,,0,0,
2022,topology_strengthening,128,22,7,0.3181818181818182,22,7,0.3181818181818182,1,10,0.45454545454545453,22,8,0.36363636363636365
2022,non_strengthening,337,32,10,0.3125,30,9,0.3,1,15,0.46875,32,13,0.40625
2023,entry,27,1,0,0.0,0,0,,1,0,0.0,1,0,0.0
2023,intensive_increase,71,15,9,0.6,15,8,0.5333333333333333,1,11,0.7333333333333333,15,11,0.7333333333333333
2023,stable_positive,266,37,13,0.35135135135135137,36,13,0.3611111111111111,1,16,0.43243243243243246,37,17,0.4594594594594595
2023,stable_zero,88,2,1,0.5,2,0,0.0,1,1,0.5,2,0,0.0
2023,intensive_decrease,11,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
2023,exit,2,0,0,,0,0,,1,0,,0,0,
2023,topology_strengthening,98,16,9,0.5625,15,8,0.5333333333333333,1,11,0.6875,16,11,0.6875
2023,non_strengthening,354,39,14,0.358974358974359,38,13,0.34210526315789475,1,17,0.4358974358974359,39,17,0.4358974358974359
2024,entry,44,5,1,0.2,4,2,0.5,0,,,,,
2024,intensive_increase,40,15,8,0.5333333333333333,15,8,0.5333333333333333,0,,,,,
2024,stable_positive,318,55,15,0.2727272727272727,54,14,0.25925925925925924,0,,,,,
2024,stable_zero,16,0,0,,0,0,,0,,,,,
2024,intensive_decrease,16,3,2,0.6666666666666666,3,2,0.6666666666666666,0,,,,,
2024,exit,1,0,0,,0,0,,0,,,,,
2024,topology_strengthening,84,20,9,0.45,19,10,0.5263157894736842,0,,,,,
2024,non_strengthening,334,55,15,0.2727272727272727,54,14,0.25925925925925924,0,,,,,
