variable,type,covered_n,uncovered_n,covered_mean,covered_sd,uncovered_mean,uncovered_sd,smd_covered_minus_uncovered,absolute_smd
log1p_fractional_ai_output,continuous_transformed,39,16,4.304328330397463,1.90034583412022,2.343335564648685,2.141359331096989,0.9686582163452037,0.9686582163452037
log1p_domestic_only_ai_works,continuous_transformed,39,16,3.621060210777398,2.0939406682820425,1.7207723826074028,2.0796864328419074,0.9106116571571008,0.9106116571571008
log_gdp,continuous_transformed,39,13,24.198026801989638,1.3261841961735492,22.798260090720273,1.5359642377518132,0.9755063245871402,0.9755063245871402
log_population,continuous_transformed,39,15,16.651535995151406,1.4104088433356474,15.091215321906903,1.663133642294804,1.0119089206811516,1.0119089206811516
region_North,binary,39,16,0.07692307692307693,0.2699527623995085,0.25,0.4472135954999579,-0.46856807129207567,0.46856807129207567
region_West,binary,39,16,0.3076923076923077,0.467571900119518,0.1875,0.4031128874149275,0.27533334935122983,0.27533334935122983
region_Central,binary,39,16,0.15384615384615385,0.36551776819519566,0.1875,0.4031128874149275,-0.08746375608429953,0.08746375608429953
region_East,binary,39,16,0.23076923076923078,0.42683279491835413,0.3125,0.47871355387816905,-0.18021598162954294,0.18021598162954294
region_South,binary,39,16,0.23076923076923078,0.42683279491835413,0.0625,0.25,0.48107738115915877,0.48107738115915877
