panel,model_id,specification_or_predictor,n_countries,n_dyads,edge_count,estimate_type,coefficient,standard_error,standardized_estimate,test_statistic,permutation_p_two_sided_plus1,evidence_role,fitted_coefficient_scale,standardized_estimate_definition
A. Primary continuous DSP-MRQAP,primary_gdp_end2025,Inverse-ubiquity-weighted shared-ASN co-presence,38,703,,Continuous coefficient,0.028539491049370896,0.02653256798649627,0.04166802681828586,1.075639985692152,0.256974302569743,Primary cross-layer estimate,outcome units per 1 predictor SD,coefficient × SD(fitted predictor) / SD(log1p association strength)
A. Primary continuous DSP-MRQAP,primary_gdp_end2025,Shared REC count,38,703,,Continuous coefficient,-0.044624059379125225,0.04071235413659224,-0.04580905582306953,-1.0960815291940378,0.2926707329267073,Registered adjustment,outcome units per 1 original-scale unit,coefficient × SD(fitted predictor) / SD(log1p association strength)
A. Primary continuous DSP-MRQAP,primary_gdp_end2025,Contiguous border,38,703,,Continuous coefficient,0.2669483177693216,0.10141290220106235,0.11140327097000792,2.6322914735253993,0.009299070092990702,Registered adjustment,outcome units per 1 original-scale unit,coefficient × SD(fitted predictor) / SD(log1p association strength)
A. Primary continuous DSP-MRQAP,primary_gdp_end2025,Log capital distance,38,703,,Continuous coefficient,-0.16605865723551108,0.03291521305418809,-0.24244779176783324,-5.045042757649171,0.00009999000099990002,Registered adjustment,outcome units per 1 predictor SD,coefficient × SD(fitted predictor) / SD(log1p association strength)
A. Primary continuous DSP-MRQAP,primary_gdp_end2025,Common official language,38,703,,Continuous coefficient,0.3561306072731677,0.04768635086895532,0.2597199194707804,7.468187453718863,0.00009999000099990002,Registered adjustment,outcome units per 1 original-scale unit,coefficient × SD(fitted predictor) / SD(log1p association strength)
A. Primary continuous DSP-MRQAP,primary_gdp_end2025,Log GDP geometric mean,38,703,,Continuous coefficient,0.10537593320118732,0.028610674840987525,0.15385022819899796,3.683098486381252,0.0030996900309969004,Registered adjustment,outcome units per 1 predictor SD,coefficient × SD(fitted predictor) / SD(log1p association strength)
A. Primary continuous DSP-MRQAP,primary_gdp_end2025,Log member-ASN geometric mean,38,703,,Continuous coefficient,-0.021352196394254373,0.030743515138742822,-0.03117448347085047,-0.6945268391689682,0.534046595340466,Registered adjustment,outcome units per 1 predictor SD,coefficient × SD(fitted predictor) / SD(log1p association strength)
B. Selected continuous robustness,population_replaces_gdp,Population replaces GDP,38,703,,Continuous coefficient,0.03431502167109993,0.026525682049936165,0.05010037637980129,1.2936527553372565,0.1720827917208279,Macro scale control,outcome units per 1 predictor SD,coefficient / SD(log1p association strength)
B. Selected continuous robustness,infra_jaccard,Jaccard infrastructure weight,38,703,,Continuous coefficient,0.020399342413658567,0.02457014221991422,0.02978330430971221,0.8302492607114338,0.43375662433756623,Infrastructure normalization,outcome units per 1 predictor SD,coefficient / SD(log1p association strength)
B. Selected continuous robustness,exclude_ambiguous_ixps,Exclude ambiguous IXPs,37,666,,Continuous coefficient,0.02906257544275248,0.027636350246424777,0.04197137341353641,1.0516068577656057,0.2638736126387361,Facility-geography rule,outcome units per 1 predictor SD,coefficient / SD(log1p association strength)
B. Selected continuous robustness,continental_zero_lower_bound,Continental zero lower-bound,47,1081,,Continuous coefficient,0.018859465902156453,0.019829723987258026,0.02827088593731225,0.9510705199061252,0.31796820317968205,Coverage lower bound,outcome units per 1 predictor SD,coefficient / SD(log1p association strength)
C. Registered binary-outcome QAP,primary_edge_presence_logistic_qap,Inverse-ubiquity-weighted shared-ASN co-presence,38,703,222,Log-odds coefficient,0.2568572154801877,0.2507271104835791,,1.0244493105862602,0.1311868813118688,Outcome-definition check,log odds per 1 SD of shared-ASN co-presence,Not reported
