main_figure_sort_order,country_code,iso3,country,network_primary_covered,shared_asn_participation_pct_common39,knowledge_pct_common39,shared_asn_knowledge_signed_gap_common39,shared_asn_knowledge_abs_gap_common39,shared_asn_participation_state
1,EG,EGY,Egypt,1,76.3157894736842,89.47368421052632,-13.15789473684211,13.15789473684211,Recorded positive
2,MA,MAR,Morocco,1,17.105263157894736,92.10526315789474,-75,75,Recorded positive
3,NG,NGA,Nigeria,1,97.36842105263158,97.36842105263158,0,0,Recorded positive
4,ZA,ZAF,South Africa,1,100,100,0,0,Recorded positive
5,DZ,DZA,Algeria,0,,,,,Not observed under source/eligibility rule
6,TN,TUN,Tunisia,1,36.8421052631579,86.84210526315789,-49.99999999999999,49.99999999999999,Recorded positive
7,ET,ETH,Ethiopia,1,2.6315789473684212,73.6842105263158,-71.05263157894737,71.05263157894737,Recorded zero
8,GH,GHA,Ghana,1,92.10526315789474,94.73684210526316,-2.631578947368425,2.631578947368425,Recorded positive
9,KE,KEN,Kenya,1,94.73684210526316,81.57894736842105,13.15789473684211,13.15789473684211,Recorded positive
10,CM,CMR,Cameroon,1,60.526315789473685,84.21052631578948,-23.684210526315795,23.684210526315795,Recorded positive
11,LY,LBY,Libya,0,,,,,Not observed under source/eligibility rule
12,TZ,TZA,Tanzania,1,84.21052631578948,71.05263157894737,13.15789473684211,13.15789473684211,Recorded positive
13,SS,SSD,South Sudan,0,,,,,Not observed under source/eligibility rule
14,UG,UGA,Uganda,1,80.26315789473684,76.3157894736842,3.94736842105263,3.94736842105263,Recorded positive
15,SD,SDN,Sudan,1,31.57894736842105,65.78947368421052,-34.210526315789465,34.210526315789465,Recorded positive
16,BI,BDI,Burundi,1,47.36842105263158,42.10526315789474,5.2631578947368425,5.2631578947368425,Recorded positive
17,RW,RWA,Rwanda,1,68.42105263157895,63.1578947368421,5.2631578947368425,5.2631578947368425,Recorded positive
18,SN,SEN,Senegal,1,17.105263157894736,55.26315789473684,-38.15789473684211,38.15789473684211,Recorded positive
19,ZW,ZWE,Zimbabwe,1,23.68421052631579,60.526315789473685,-36.84210526315789,36.84210526315789,Recorded positive
20,ZM,ZMB,Zambia,1,57.89473684210526,78.94736842105263,-21.05263157894737,21.05263157894737,Recorded positive
21,BW,BWA,Botswana,1,9.210526315789474,68.42105263157895,-59.21052631578947,59.21052631578947,Recorded positive
22,MU,MUS,Mauritius,1,89.47368421052632,39.473684210526315,50,50,Recorded positive
23,CD,COD,Democratic Republic of the Congo,1,73.6842105263158,44.73684210526316,28.947368421052637,28.947368421052637,Recorded positive
24,BF,BFA,Burkina Faso,1,65.78947368421052,57.89473684210526,7.89473684210526,7.89473684210526,Recorded positive
25,MW,MWI,Malawi,1,40.78947368421053,36.8421052631579,3.94736842105263,3.94736842105263,Recorded positive
26,NA,NAM,Namibia,1,52.63157894736842,50,2.6315789473684177,2.6315789473684177,Recorded positive
27,BJ,BEN,Benin,1,17.105263157894736,52.63157894736842,-35.526315789473685,35.526315789473685,Recorded positive
28,CI,CIV,Cote d'Ivoire,1,63.1578947368421,47.36842105263158,15.78947368421052,15.78947368421052,Recorded positive
29,MG,MDG,Madagascar,1,55.26315789473684,18.42105263157895,36.84210526315789,36.84210526315789,Recorded positive
30,MZ,MOZ,Mozambique,1,71.05263157894737,21.05263157894737,50,50,Recorded positive
31,SO,SOM,Somalia,0,,,,,Not observed under source/eligibility rule
32,MR,MRT,Mauritania,0,,,,,Not observed under source/eligibility rule
33,NE,NER,Niger,0,,,,,Not observed under source/eligibility rule
34,ML,MLI,Mali,1,31.57894736842105,23.68421052631579,7.89473684210526,7.89473684210526,Recorded positive
35,CG,COG,Republic of the Congo,1,47.36842105263158,26.31578947368421,21.052631578947373,21.052631578947373,Recorded positive
36,AO,AGO,Angola,1,80.26315789473684,5.2631578947368425,75,75,Recorded positive
37,GM,GMB,Gambia,1,2.6315789473684212,7.894736842105263,-5.263157894736842,5.263157894736842,Recorded zero
38,TD,TCD,Chad,1,31.57894736842105,34.21052631578947,-2.6315789473684212,2.6315789473684212,Recorded positive
39,SL,SLE,Sierra Leone,1,9.210526315789474,14.473684210526315,-5.263157894736841,5.263157894736841,Recorded positive
40,TG,TGO,Togo,1,47.36842105263158,31.57894736842105,15.789473684210531,15.789473684210531,Recorded positive
41,LR,LBR,Liberia,0,,,,,Not observed under source/eligibility rule
42,SZ,SWZ,Eswatini,0,,,,,Not observed under source/eligibility rule
43,GA,GAB,Gabon,1,40.78947368421053,10.526315789473685,30.263157894736842,30.263157894736842,Recorded positive
44,LS,LSO,Lesotho,1,26.31578947368421,28.94736842105263,-2.6315789473684212,2.6315789473684212,Recorded positive
45,GN,GIN,Guinea,1,17.105263157894736,14.473684210526315,2.6315789473684212,2.6315789473684212,Recorded positive
46,CF,CAF,Central African Republic,0,,,,,Not observed under source/eligibility rule
47,ER,ERI,Eritrea,0,,,,,Not observed under source/eligibility rule
48,CV,CPV,Cabo Verde,1,2.6315789473684212,0,2.6315789473684212,2.6315789473684212,Recorded zero
49,SC,SYC,Seychelles,0,,,,,Not observed under source/eligibility rule
50,DJ,DJI,Djibouti,1,86.84210526315789,2.6315789473684212,84.21052631578947,84.21052631578947,Recorded positive
51,ST,STP,Sao Tome and Principe,0,,,,,Not observed under source/eligibility rule
52,GW,GNB,Guinea-Bissau,0,,,,,Not observed under source/eligibility rule
53,EH,ESH,Sahrawi Arab Democratic Republic / Western Sahara,0,,,,,Not observed under source/eligibility rule
54,GQ,GNQ,Equatorial Guinea,0,,,,,Not observed under source/eligibility rule
55,KM,COM,Comoros,0,,,,,Not observed under source/eligibility rule
